"Index","X (mm)","Y (mm)","Arc Angle (Neg = CW)"
"0","98.95","73.02",""
"1","98.95","73.4","-180.000"
"2","101.05","73.4",""
"3","101.05","73.02","39.247"
"4","117.882","79.771",""
"5","117.882","79.771","-61.187"
"6","120.717","83.302","69.348"
"7","121.364","84.238",""
"8","121.364","95","-90.000"
"9","122.364","96",""
"10","125.826","96","83.374"
"11","126.82","96.885",""
"12","126.82","96.885","44.318"
"13","121.365","116.508","-69.893"
"14","117.882","120.229",""
"15","117.882","120.229","39.247"
"16","101.05","126.98",""
"17","101.05","126.6","-180.000"
"18","98.95","126.6",""
"19","98.95","126.98","39.247"
"20","82.118","120.229",""
"21","82.118","120.229","-69.893"
"22","78.635","116.508","75.562"
"23","78.686","83.425",""
"24","78.686","83.425","-69.893"
"25","82.181","79.715",""
"26","82.181","79.715","39.068"
